sentence,verb,verb_idx,label
ממנו הוצאת ידיד מבן זה יעקב שקראתו בכור,זה,4,0
ממנו הוצאת ידיד מבן זה יעקב שקראתו בכור,יעקב,5,0
ממנו הוצאת ידיד מבן זה יעקב שקראתו בכור,בכור,7,0
נחת רוח מבניו מצאת לכן מה שבראת כנגדם בראת,נחת,0,1
נחת רוח מבניו מצאת לכן מה שבראת כנגדם בראת,רוח,1,1
נחת רוח מבניו מצאת לכן מה שבראת כנגדם בראת,מה,5,0
סגולה הבדלת מבין בניו זה לוי שלישי לבטן,סגולה,0,0
סגולה הבדלת מבין בניו זה לוי שלישי לבטן,מבין,2,0
סגולה הבדלת מבין בניו זה לוי שלישי לבטן,זה,4,0
סגולה הבדלת מבין בניו זה לוי שלישי לבטן,לוי,5,0
עיניך שמתה ביוצאי ירכו זה אהרן ראש קדושך,עיניך,0,1
עיניך שמתה ביוצאי ירכו זה אהרן ראש קדושך,שמתה,1,1
עיניך שמתה ביוצאי ירכו זה אהרן ראש קדושך,ביוצאי,2,1
עיניך שמתה ביוצאי ירכו זה אהרן ראש קדושך,ירכו,3,1
עיניך שמתה ביוצאי ירכו זה אהרן ראש קדושך,זה,4,0
עיניך שמתה ביוצאי ירכו זה אהרן ראש קדושך,אהרן,5,0
עיניך שמתה ביוצאי ירכו זה אהרן ראש קדושך,ראש,6,0
פרשת לו באיזה יבוא אל הקודש והודעתו מה יעשה לפניך ביום הסליחה,לו,1,0
פרשת לו באיזה יבוא אל הקודש והודעתו מה יעשה לפניך ביום הסליחה,יבוא,3,0
פרשת לו באיזה יבוא אל הקודש והודעתו מה יעשה לפניך ביום הסליחה,אל,4,0
פרשת לו באיזה יבוא אל הקודש והודעתו מה יעשה לפניך ביום הסליחה,הקודש,5,0
פרשת לו באיזה יבוא אל הקודש והודעתו מה יעשה לפניך ביום הסליחה,מה,7,0
פרשת לו באיזה יבוא אל הקודש והודעתו מה יעשה לפניך ביום הסליחה,לפניך,9,0
פרשת לו באיזה יבוא אל הקודש והודעתו מה יעשה לפניך ביום הסליחה,ביום,10,0
צדק הלבשתו בגדיו כשלג וליסוף ארבעה יתר מאחיו,צדק,0,0
צדק הלבשתו בגדיו כשלג וליסוף ארבעה יתר מאחיו,ארבעה,5,0
קדשתו כקדושת שרפיך כי הוא מרצה עוונות עמך,כי,3,0
קדשתו כקדושת שרפיך כי הוא מרצה עוונות עמך,הוא,4,0
קדשתו כקדושת שרפיך כי הוא מרצה עוונות עמך,מרצה,5,0
קדשתו כקדושת שרפיך כי הוא מרצה עוונות עמך,עוונות,6,0
קדשתו כקדושת שרפיך כי הוא מרצה עוונות עמך,עמך,7,0
ראש עשיתו לצאצאי אב המון וקצין לשלש זרעו,ראש,0,1
ראש עשיתו לצאצאי אב המון וקצין לשלש זרעו,אב,3,0
ראש עשיתו לצאצאי אב המון וקצין לשלש זרעו,המון,4,0
ראש עשיתו לצאצאי אב המון וקצין לשלש זרעו,וקצין,5,1
ראש עשיתו לצאצאי אב המון וקצין לשלש זרעו,זרעו,7,1
שמות שבטיך על שתי כתפיו שמת שבכניסתו לפניך יזכרו לטובה,שמות,0,0
שמות שבטיך על שתי כתפיו שמת שבכניסתו לפניך יזכרו לטובה,על,2,0
שמות שבטיך על שתי כתפיו שמת שבכניסתו לפניך יזכרו לטובה,כתפיו,4,0
שמות שבטיך על שתי כתפיו שמת שבכניסתו לפניך יזכרו לטובה,לפניך,7,0
שמות שבטיך על שתי כתפיו שמת שבכניסתו לפניך יזכרו לטובה,יזכרו,8,0
שמות שבטיך על שתי כתפיו שמת שבכניסתו לפניך יזכרו לטובה,לטובה,9,0
תמורת כפרה לבניו הודעת שיעשו לפניך כיוצא בו,לבניו,2,0
תמורת כפרה לבניו הודעת שיעשו לפניך כיוצא בו,לפניך,5,0
תמורת כפרה לבניו הודעת שיעשו לפניך כיוצא בו,בו,7,0
אם אין מעון לנוהרים המר למעניהם,אם,0,0
אם אין מעון לנוהרים המר למעניהם,אין,1,0
אם אין מעון לנוהרים המר למעניהם,מעון,2,0
אם אין מעון לנוהרים המר למעניהם,לנוהרים,3,1
הבט ללא,ללא,1,0
אם מעירים הבט,אם,0,0
אם הבט בדמינו השפוך סביבות ירושלים,אם,0,0
אם הבט בדמינו השפוך סביבות ירושלים,בדמינו,2,1
אם הבט בדמינו השפוך סביבות ירושלים,השפוך,3,1
אם הבט בדמינו השפוך סביבות ירושלים,סביבות,4,1
אם הבט בדמינו השפוך סביבות ירושלים,ירושלים,5,1
אם מבית הבט כי לכולנו אפילו,אם,0,0
אם מבית הבט כי לכולנו אפילו,מבית,1,0
אם מבית הבט כי לכולנו אפילו,כי,3,0
אם אין הבט בפני מרזים,אם,0,0
אם אין הבט בפני מרזים,אין,1,0
חטאנו,חטאנו,0,0
אם במזבח הבט במערב ומזרח,אם,0,0
אם יקטירו עליו הבט בחלב עוללים הנמס מעולם,אם,0,0
אם יקטירו עליו הבט בחלב עוללים הנמס מעולם,עליו,2,0
אם יקטירו עליו הבט בחלב עוללים הנמס מעולם,בחלב,4,1
אם יקטירו עליו הבט בחלב עוללים הנמס מעולם,עוללים,5,1
אם יקטירו עליו הבט בחלב עוללים הנמס מעולם,הנמס,6,1
אם יקטירו עליו הבט בחלב עוללים הנמס מעולם,מעולם,7,1
אם אין הבט בטבועה ביון מצולך,אם,0,0
אם אין הבט בטבועה ביון מצולך,אין,1,0
אם אין הבט בטבועה ביון מצולך,בטבועה,3,1
אם אין הבט בטבועה ביון מצולך,ביון,4,1
אם אין הבט בטבועה ביון מצולך,מצולך,5,1
אם הבט בשרתי ואין בה שריד,אם,0,0
אם הבט בשרתי ואין בה שריד,ואין,3,0
אם הבט בשרתי ואין בה שריד,בה,4,0
אם הבט בשרתי ואין בה שריד,שריד,5,0
אם תוקד תמיד,אם,0,0
אם תוקד תמיד,תמיד,2,0
אם רע לי נחלום,אם,0,0
אם רע לי נחלום,רע,1,0
אם רע לי נחלום,לי,2,0
אם לשבות מס נשכח,אם,0,0
אם לשבות מס נשכח,נשכח,3,0
אם נשמרו שם בעיר שמה,אם,0,0
אם נשמרו שם בעיר שמה,שם,2,0
אם נשמרו שם בעיר שמה,בעיר,3,0
אם נשמרו שם בעיר שמה,שמה,4,0
אם סוללו גזה עשר פעמים,אם,0,0
אם סוללו גזה עשר פעמים,עשר,3,0
אם סוללו גזה עשר פעמים,פעמים,4,0
אם ולעולה אין תמורה,אם,0,0
אם ולעולה אין תמורה,אין,2,0
אם במבני מלוכים,אם,0,0
אם הקדש הבט בעיין,אם,0,0
אם לעברים,אם,0,0
אם רחשון תפלה הבט בפילולינו ואויבנו פלילים,אם,0,0
אם רחשון תפלה הבט בפילולינו ואויבנו פלילים,תפלה,2,0
אם שגינן לרכב יומין קרבנות הבט בתי לקרבינן ואין נביא לקרב,אם,0,0
אם שגינן לרכב יומין קרבנות הבט בתי לקרבינן ואין נביא לקרב,ואין,8,0
אם שגינן לרכב יומין קרבנות הבט בתי לקרבינן ואין נביא לקרב,נביא,9,0
אם תנומות כהן גדול הבט בגודל שבתינו,אם,0,0
אם תנומות כהן גדול הבט בגודל שבתינו,גדול,3,0
אם תנומות כהן גדול הבט בגודל שבתינו,בגודל,5,0
אל מהולל בפסח ולחם אכילת עוני כי בו פדה נברכך בכל עת,אל,0,0
אל מהולל בפסח ולחם אכילת עוני כי בו פדה נברכך בכל עת,בפסח,2,0
אל מהולל בפסח ולחם אכילת עוני כי בו פדה נברכך בכל עת,כי,6,0
אל מהולל בפסח ולחם אכילת עוני כי בו פדה נברכך בכל עת,בו,7,0
אל מהולל בפסח ולחם אכילת עוני כי בו פדה נברכך בכל עת,פדה,8,0
אל מהולל בפסח ולחם אכילת עוני כי בו פדה נברכך בכל עת,בכל,10,0
אל מהולל בפסח ולחם אכילת עוני כי בו פדה נברכך בכל עת,עת,11,0
במרור דשא מארץ ארורים גאלת בזכות דם פסח ודם ברית אבות,מארץ,2,0
במרור דשא מארץ ארורים גאלת בזכות דם פסח ודם ברית אבות,ארורים,3,0
במרור דשא מארץ ארורים גאלת בזכות דם פסח ודם ברית אבות,בזכות,5,0
במרור דשא מארץ ארורים גאלת בזכות דם פסח ודם ברית אבות,דם,6,0
במרור דשא מארץ ארורים גאלת בזכות דם פסח ודם ברית אבות,ודם,8,0
במרור דשא מארץ ארורים גאלת בזכות דם פסח ודם ברית אבות,ברית,9,0
במרור דשא מארץ ארורים גאלת בזכות דם פסח ודם ברית אבות,אבות,10,0
גאולה תחיש לשומרי מצוות זכר לציון בעבודת קורבן,מצוות,3,0
גאולה תחיש לשומרי מצוות זכר לציון בעבודת קורבן,זכר,4,0
אז ביום השני הבדלת בין מים כן תבדילנו משאון מים כבדים,אז,0,0
אז ביום השני הבדלת בין מים כן תבדילנו משאון מים כבדים,ביום,1,0
אז ביום השני הבדלת בין מים כן תבדילנו משאון מים כבדים,בין,4,0
אז ביום השני הבדלת בין מים כן תבדילנו משאון מים כבדים,מים,5,0
אז ביום השני הבדלת בין מים כן תבדילנו משאון מים כבדים,כן,6,0
אז ביום השני הבדלת בין מים כן תבדילנו משאון מים כבדים,משאון,8,1
אז ביום השני הבדלת בין מים כן תבדילנו משאון מים כבדים,מים,9,1
אז ביום השני הבדלת בין מים כן תבדילנו משאון מים כבדים,כבדים,10,1
בשני גדרת בין מים למים גדור פרצותינו בעברינו במים,בשני,0,0
בשני גדרת בין מים למים גדור פרצותינו בעברינו במים,גדרת,1,1
בשני גדרת בין מים למים גדור פרצותינו בעברינו במים,בין,2,0
בשני גדרת בין מים למים גדור פרצותינו בעברינו במים,מים,3,0
בשני גדרת בין מים למים גדור פרצותינו בעברינו במים,למים,4,0
בשני גדרת בין מים למים גדור פרצותינו בעברינו במים,גדור,5,1
בשני גדרת בין מים למים גדור פרצותינו בעברינו במים,פרצותינו,6,1
בשני גדרת בין מים למים גדור פרצותינו בעברינו במים,במים,8,0
תכה מענינו אחת ובל תשנה למו כמו הכיתה בכוריהם בצוען,מענינו,1,0
תכה מענינו אחת ובל תשנה למו כמו הכיתה בכוריהם בצוען,ובל,3,0
תכה מענינו אחת ובל תשנה למו כמו הכיתה בכוריהם בצוען,למו,5,0
תכה מענינו אחת ובל תשנה למו כמו הכיתה בכוריהם בצוען,כמו,6,0
תכה מענינו אחת ובל תשנה למו כמו הכיתה בכוריהם בצוען,בכוריהם,8,0
שיר נשורר לך עוברי פלג בשמחה רבה על זאת שבחו,שיר,0,0
שיר נשורר לך עוברי פלג בשמחה רבה על זאת שבחו,לך,2,0
שיר נשורר לך עוברי פלג בשמחה רבה על זאת שבחו,עוברי,3,0
שיר נשורר לך עוברי פלג בשמחה רבה על זאת שבחו,פלג,4,0
שיר נשורר לך עוברי פלג בשמחה רבה על זאת שבחו,בשמחה,5,0
שיר נשורר לך עוברי פלג בשמחה רבה על זאת שבחו,רבה,6,0
שיר נשורר לך עוברי פלג בשמחה רבה על זאת שבחו,על,7,0
שיר נשורר לך עוברי פלג בשמחה רבה על זאת שבחו,זאת,8,0
אדם מצטער ברעבון בטנו,אדם,0,0
בטנו תכין מה,מה,2,0
גיל גורם שפיכות דם,גיל,0,0
גיל גורם שפיכות דם,דם,3,0
דם נקיים הורג,דם,0,0
עד יום מותו תקוה לו בתשובה להנטותו בתחיה,עד,0,0
עד יום מותו תקוה לו בתשובה להנטותו בתחיה,יום,1,0
עד יום מותו תקוה לו בתשובה להנטותו בתחיה,תקוה,3,0
עד יום מותו תקוה לו בתשובה להנטותו בתחיה,לו,4,0
עד יום מותו תקוה לו בתשובה להנטותו בתחיה,בתשובה,5,0
עד יום מותו תקוה לו בתשובה להנטותו בתחיה,להנטותו,6,0
רחמיך וחסדיך לצוות לאנוש מחיה,רחמיך,0,0
רחמיך וחסדיך לצוות לאנוש מחיה,לאנוש,3,0
הורג נפשות האוכל הרבה,נפשות,1,1
הרבה תוכחת עם זוללי,עם,2,0
הרבה תוכחת עם זוללי,זוללי,3,0
זוללי וסובאי חטאת,זוללי,0,1
זוללי וסובאי חטאת,וסובאי,1,1
זוללי וסובאי חטאת,חטאת,2,0
חטאת מחויב על טרף,חטאת,0,0
חטאת מחויב על טרף,על,2,0
חטאת מחויב על טרף,טרף,3,1
טרף אם בו אדם יכשל,טרף,0,1
טרף אם בו אדם יכשל,אם,1,0
טרף אם בו אדם יכשל,בו,2,0
טרף אם בו אדם יכשל,אדם,3,0
יכשל בגאון כחשו לפניו לענות,לפניו,3,0
לענות בדין רוע מעשיר,בדין,1,0
מעשיר בירידת קבר נפרעים,קבר,2,0
נפרעים ממנו מקצת הודיית סיחו,ממנו,1,0
נפרעים ממנו מקצת הודיית סיחו,סיחו,4,0
סיחו מעיד על עונו,סיחו,0,0
סיחו מעיד על עונו,מעיד,1,1
סיחו מעיד על עונו,על,2,0
עונו מגיד רוב פשעו,מגיד,1,1
עונו מגיד רוב פשעו,רוב,2,0
פשעו בידו חתום בם צרור,בידו,1,0
פשעו בידו חתום בם צרור,חתום,2,0
פשעו בידו חתום בם צרור,בם,3,0
פשעו בידו חתום בם צרור,צרור,4,0
צרור עד בוא עת קצו,צרור,0,0
צרור עד בוא עת קצו,עד,1,0
צרור עד בוא עת קצו,בוא,2,0
צרור עד בוא עת קצו,עת,3,0
קצו מבכר רוגז רשעו,רוגז,2,1
קצו מבכר רוגז רשעו,רשעו,3,1
רשעו שעמל תחת,רשעו,0,0
רשעו שעמל תחת,תחת,2,0
פוער פה היום לשוטנינו,פוער,0,1
פוער פה היום לשוטנינו,פה,1,1
פוער פה היום לשוטנינו,היום,2,0
צורינו יאמר הס ויחריש,צורינו,0,1
פה מליץ מגיד ישרנו,פה,0,1
פה מליץ מגיד ישרנו,מליץ,1,0
פה מליץ מגיד ישרנו,מגיד,2,1
צאת לצדק דין בשופר,דין,2,0
צאת לצדק דין בשופר,בשופר,3,0
צעקת מוות ממינו תסיר,צעקת,0,1
צעקת מוות ממינו תסיר,מוות,1,1
צעקת מוות ממינו תסיר,תסיר,3,0
קצב רוב שנים חסרנו ששון,רוב,1,0
קצב רוב שנים חסרנו ששון,שנים,2,0
קצב רוב שנים חסרנו ששון,ששון,4,0
צפוני נקיק סלע יצווחו ירונו,צפוני,0,1
צפוני נקיק סלע יצווחו ירונו,נקיק,1,1
צפוני נקיק סלע יצווחו ירונו,סלע,2,1
קשב שופר בארץ תעוררם,שופר,1,0
קשב שופר בארץ תעוררם,בארץ,2,0
קרא ציר צאי בת נדיב,קרא,0,0
קרא ציר צאי בת נדיב,ציר,1,0
קרא ציר צאי בת נדיב,בת,3,1
קרא ציר צאי בת נדיב,נדיב,4,1
ראי דוד דופק והקשיבי,דוד,1,1
ראי דוד דופק והקשיבי,דופק,2,0
קדוח אש ושופר תוקע,אש,1,0
רעדו מתניה כי ראתה,רעדו,0,0
רעדו מתניה כי ראתה,מתניה,1,0
רעדו מתניה כי ראתה,כי,2,0
רעדו מתניה כי ראתה,ראתה,3,0
רננות הפיק איש תואר,רננות,0,0
רננות הפיק איש תואר,איש,2,0
ק רינה שם באזני כל יצור,רינה,1,0
ק רינה שם באזני כל יצור,שם,2,0
ק רינה שם באזני כל יצור,כל,4,0
שבחוהו בשופר בזמירות כל כלי,בשופר,1,0
שבחוהו בשופר בזמירות כל כלי,כל,3,0
שבחוהו בשופר בזמירות כל כלי,כלי,4,0
שאון פחדך בעמים תודיע,שאון,0,1
שאון פחדך בעמים תודיע,פחדך,1,1
שאון פחדך בעמים תודיע,תודיע,3,0
שופר תקע וצא והלחם,שופר,0,0
שופר תקע וצא והלחם,תקע,1,0
תסמר סערות תימן,תסמר,0,0
תסמר סערות תימן,תימן,2,0
תקיעת קרן אל זינו,קרן,1,0
תקיעת קרן אל זינו,אל,2,0
תרועה יש לנו להיוושע,לנו,2,0
תקיעת ימי שמחה ומועד,שמחה,2,0
תרועת קרבן עם שירי,תרועת,0,0
תרועת קרבן עם שירי,עם,2,0
אבד אשר תיף,אשר,1,0
בלועי בכל,בכל,1,0
לה רדיף,לה,0,0
דבר דחופים קרובו,דבר,0,0
דבר דחופים קרובו,קרובו,2,0
זרויי זרועיך עלס,זרויי,0,1
זרויי זרועיך עלס,זרועיך,1,1
זרויי זרועיך עלס,עלס,2,1
חפש חבור סגוריך,חפש,0,0
טפי טמוניך נצור,טפי,0,1
טפי טמוניך נצור,טמוניך,1,1
טפי טמוניך נצור,נצור,2,0
ידו יוסיף מוכר,ידו,0,1
ידו יוסיף מוכר,יוסיף,1,0
כאז כממצרים לקנות,לקנות,2,0
אל אחזתם תשיבם,אל,0,0
אל אחזתם תשיבם,אחזתם,1,0
בבית בחירתך שכנם,בבית,0,0
דישת דגלי קבוצים,דגלי,1,1
דישת דגלי קבוצים,קבוצים,2,1
זכר זבחי עולות,זכר,0,0
זכר זבחי עולות,עולות,2,0
טרף טהרת ניחוח,טרף,0,0
טרף טהרת ניחוח,ניחוח,2,0
יינות יציקת מנוחות,יציקת,1,0
יינות יציקת מנוחות,מנוחות,2,0
בחצוצרות ובקול שופר,שופר,2,0
רון תרועה ישפר,רון,0,0
הריעו לפני המלך,המלך,2,1
פשעכם יצליל בשלך,יצליל,1,1
קול שופר עדיו ילך,קול,0,0
קול שופר עדיו ילך,שופר,1,0
קול שופר עדיו ילך,עדיו,2,0
קול שופר עדיו ילך,ילך,3,1
חדשו לו שיר תרועת מלך,לו,1,0
חדשו לו שיר תרועת מלך,שיר,2,0
חדשו לו שיר תרועת מלך,תרועת,3,0
חדשו לו שיר תרועת מלך,מלך,4,1
תשפות שלומינו,תשפות,0,0
כקדם לחדש ימינו,כקדם,0,0
כקדם לחדש ימינו,ימינו,2,0
כיום זה יביאנו לבית אימנו,כיום,0,0
כיום זה יביאנו לבית אימנו,זה,1,0
כיום זה יביאנו לבית אימנו,לבית,3,1
כיום זה יביאנו לבית אימנו,אימנו,4,1
ורוב עוז ושלום יאסימנו,עוז,1,0
ורוב עוז ושלום יאסימנו,ושלום,2,0
ורוב עוז ושלום יאסימנו,יאסימנו,3,1
אשר ידו יסדה ארץ וימינו טפחה שמים,אשר,0,0
אשר ידו יסדה ארץ וימינו טפחה שמים,ידו,1,1
אשר ידו יסדה ארץ וימינו טפחה שמים,ארץ,3,0
אשר ידו יסדה ארץ וימינו טפחה שמים,וימינו,4,1
אשר ידו יסדה ארץ וימינו טפחה שמים,טפחה,5,1
אשר ידו יסדה ארץ וימינו טפחה שמים,שמים,6,1
ברוח פיו קרא למים אל מקום אחד כולם עלו,ברוח,0,1
ברוח פיו קרא למים אל מקום אחד כולם עלו,פיו,1,1
ברוח פיו קרא למים אל מקום אחד כולם עלו,קרא,2,0
ברוח פיו קרא למים אל מקום אחד כולם עלו,למים,3,0
ברוח פיו קרא למים אל מקום אחד כולם עלו,אל,4,0
ברוח פיו קרא למים אל מקום אחד כולם עלו,אחד,6,0
ברוח פיו קרא למים אל מקום אחד כולם עלו,עלו,8,0
גער בה ויתייצבו כמו חומה,גער,0,0
גער בה ויתייצבו כמו חומה,בה,1,0
גער בה ויתייצבו כמו חומה,כמו,3,0
גער בה ויתייצבו כמו חומה,חומה,4,0
דלתות לשמים עשה קנים וצוהר לתשמיש חמה,דלתות,0,1
דלתות לשמים עשה קנים וצוהר לתשמיש חמה,לשמים,1,0
דלתות לשמים עשה קנים וצוהר לתשמיש חמה,עשה,2,0
דלתות לשמים עשה קנים וצוהר לתשמיש חמה,חמה,6,0
הוא הכין למטר נתיב ודרך לחזיז קולות,הוא,0,0
הוא הכין למטר נתיב ודרך לחזיז קולות,הכין,1,0
הוא הכין למטר נתיב ודרך לחזיז קולות,נתיב,3,1
הוא הכין למטר נתיב ודרך לחזיז קולות,ודרך,4,0
הוא הכין למטר נתיב ודרך לחזיז קולות,לחזיז,5,0
ומוציא נהרות ועיש על בניה,נהרות,1,0
ומוציא נהרות ועיש על בניה,על,3,0
ומוציא נהרות ועיש על בניה,בניה,4,0
זיו שכינתו וכמראה הקשת בתוך הענן,זיו,0,0
זיו שכינתו וכמראה הקשת בתוך הענן,הקשת,3,0
זיו שכינתו וכמראה הקשת בתוך הענן,בתוך,4,0
חיות טהורות נושאות כס,חיות,0,0
חיות טהורות נושאות כס,כס,3,0
אנוש מה יזכה וצבא דק לא זכו בעיניך,אנוש,0,0
אנוש מה יזכה וצבא דק לא זכו בעיניך,מה,1,0
אנוש מה יזכה וצבא דק לא זכו בעיניך,וצבא,3,1
אנוש מה יזכה וצבא דק לא זכו בעיניך,דק,4,1
אנוש מה יזכה וצבא דק לא זכו בעיניך,לא,5,0
אנוש מה יזכה וצבא דק לא זכו בעיניך,בעיניך,7,1
בלחים אם תבער האש מה בחציר יבש,בלחים,0,1
בלחים אם תבער האש מה בחציר יבש,אם,1,1
בלחים אם תבער האש מה בחציר יבש,תבער,2,1
בלחים אם תבער האש מה בחציר יבש,האש,3,1
בלחים אם תבער האש מה בחציר יבש,מה,4,1
בלחים אם תבער האש מה בחציר יבש,בחציר,5,1
בלחים אם תבער האש מה בחציר יבש,יבש,6,1
עד יום מותו תחכה לו לתשובה להנטותו לתחיה,עד,0,0
עד יום מותו תחכה לו לתשובה להנטותו לתחיה,יום,1,0
עד יום מותו תחכה לו לתשובה להנטותו לתחיה,לו,4,0
עד יום מותו תחכה לו לתשובה להנטותו לתחיה,לתשובה,5,0
עד יום מותו תחכה לו לתשובה להנטותו לתחיה,להנטותו,6,1
עד יום מותו תחכה לו לתשובה להנטותו לתחיה,לתחיה,7,1
גלוי לך חשך כמו אור משוטט כל בעין,לך,1,0
גלוי לך חשך כמו אור משוטט כל בעין,חשך,2,0
גלוי לך חשך כמו אור משוטט כל בעין,כמו,3,0
גלוי לך חשך כמו אור משוטט כל בעין,אור,4,0
גלוי לך חשך כמו אור משוטט כל בעין,משוטט,5,1
גלוי לך חשך כמו אור משוטט כל בעין,כל,6,1
גלוי לך חשך כמו אור משוטט כל בעין,בעין,7,1
דירתך בסתר וגלויות לך כל נסתרות,דירתך,0,1
דירתך בסתר וגלויות לך כל נסתרות,בסתר,1,0
דירתך בסתר וגלויות לך כל נסתרות,לך,3,0
דירתך בסתר וגלויות לך כל נסתרות,כל,4,0
דירתך בסתר וגלויות לך כל נסתרות,נסתרות,5,0
הדן יחידי והוא באחד ומי ישיבנו,יחידי,1,0
הדן יחידי והוא באחד ומי ישיבנו,והוא,2,0
ועל גוי ועל אדם יחד יינטה קו ואין מי ירשיע,ועל,0,0
ועל גוי ועל אדם יחד יינטה קו ואין מי ירשיע,גוי,1,0
ועל גוי ועל אדם יחד יינטה קו ואין מי ירשיע,ועל,2,0
ועל גוי ועל אדם יחד יינטה קו ואין מי ירשיע,אדם,3,0
ועל גוי ועל אדם יחד יינטה קו ואין מי ירשיע,יחד,4,0
ועל גוי ועל אדם יחד יינטה קו ואין מי ירשיע,יינטה,5,1
ועל גוי ועל אדם יחד יינטה קו ואין מי ירשיע,קו,6,1
