sentence,verb,verb_idx,label
פשעו בם רשעים וחילפו עיקרם,בם,1,0
פשעו בם רשעים וחילפו עיקרם,רשעים,2,0
צדיק ורשע איך תמית לעוקרם,צדיק,0,0
צדיק ורשע איך תמית לעוקרם,ורשע,1,0
צדיק ורשע איך תמית לעוקרם,איך,2,0
צדיק ורשע איך תמית לעוקרם,לעוקרם,4,1
קיבל צור פילולו והראהו הדרם,צור,1,1
ראה עולמות להנחיל יש מספרם,עולמות,1,0
שר צדיקים בעלז סיברם,שר,0,0
שר צדיקים בעלז סיברם,צדיקים,1,0
במיטה ושולחן יעודנו שאירם,במיטה,0,1
במיטה ושולחן יעודנו שאירם,ושולחן,1,1
במיטה ושולחן יעודנו שאירם,יעודנו,2,1
במיטה ושולחן יעודנו שאירם,שאירם,3,1
בכסא ובמנורה יהלו אורם,בכסא,0,1
בכסא ובמנורה יהלו אורם,ובמנורה,1,1
בכסא ובמנורה יהלו אורם,יהלו,2,1
בכסא ובמנורה יהלו אורם,אורם,3,1
תרפיק מרבצו חן מונח מותקן מוצנע מורם,חן,2,0
ושכב בו בחלום וערב לו קורת רוח נוהרם,בו,1,0
ושכב בו בחלום וערב לו קורת רוח נוהרם,לו,4,0
ושכב בו בחלום וערב לו קורת רוח נוהרם,רוח,6,0
וידע כי צורם משלם שכרם,וידע,0,0
וידע כי צורם משלם שכרם,כי,1,0
וידע כי צורם משלם שכרם,צורם,2,1
וידע כי צורם משלם שכרם,משלם,3,1
וידע כי צורם משלם שכרם,שכרם,4,1
וקיבל עליו גזירתך רם,עליו,1,0
וקיבל עליו גזירתך רם,רם,3,1
אימת ציר על כל נפלה,ציר,1,1
אימת ציר על כל נפלה,על,2,0
אימת ציר על כל נפלה,כל,3,0
אימת ציר על כל נפלה,נפלה,4,0
עת להר נבו עלה,עת,0,0
עת להר נבו עלה,להר,1,0
עת להר נבו עלה,עלה,3,0
כלוא הועיל בעת חילה,בעת,2,0
כלוא הועיל בעת חילה,חילה,3,0
בחיל הואחזו דרי ארץ,בחיל,0,1
בחיל הואחזו דרי ארץ,הואחזו,1,1
בחיל הואחזו דרי ארץ,דרי,2,1
בחיל הואחזו דרי ארץ,ארץ,3,1
בשרם שמת עולה שמי ערץ,בשרם,0,0
בשרם שמת עולה שמי ערץ,עולה,2,0
בשרם שמת עולה שמי ערץ,שמי,3,1
בשרם שמת עולה שמי ערץ,ערץ,4,1
וידעו כי הכל קרץ,כי,1,0
וידעו כי הכל קרץ,קרץ,3,0
פנו להבין בהבל הבלים,פנו,0,0
שאין במיתה גבולים,שאין,0,0
כי אם להשוות קטנים וגדולים,כי,0,0
כי אם להשוות קטנים וגדולים,אם,1,0
אין לחיות ולהתקיים,אין,0,0
אין לעדי עד איש קיים,אין,0,0
אין לעדי עד איש קיים,עד,2,0
אין לעדי עד איש קיים,איש,3,0
אין לעדי עד איש קיים,קיים,4,0
כי אם חיי וקיים קדוש,כי,0,0
כי אם חיי וקיים קדוש,אם,1,0
כי אם חיי וקיים קדוש,חיי,2,0
כי אם חיי וקיים קדוש,קדוש,4,0
אשר קמו להתנבאה,אשר,0,0
מהם גדל עניו בנבואה,גדל,1,0
מהם גדל עניו בנבואה,עניו,2,0
דוברי סוד אלוהים,סוד,1,0
דוברי סוד אלוהים,אלוהים,2,0
המשולחים אל עם אלוהים,אל,1,0
המשולחים אל עם אלוהים,עם,2,0
המשולחים אל עם אלוהים,אלוהים,3,0
מהם גדל איש האלוהים,גדל,1,0
מהם גדל איש האלוהים,איש,2,0
יה היבין בכל נביאיו,בכל,2,0
ומכולם ציר אמת התאב,ציר,1,1
ומכולם ציר אמת התאב,אמת,2,1
ומכולם ציר אמת התאב,התאב,3,1
ולעלותו מהם תאב,תאב,2,0
ולא קם כמשה בחירו,ולא,0,0
ולא קם כמשה בחירו,קם,1,0
אשר עשר נבואות ייקרו,אשר,0,0
אשר עשר נבואות ייקרו,עשר,1,0
וכשמת בנשיקה קברו קדוש,וכשמת,0,1
וכשמת בנשיקה קברו קדוש,בנשיקה,1,1
וכשמת בנשיקה קברו קדוש,קברו,2,1
וכשמת בנשיקה קברו קדוש,קדוש,3,1
הערה רוב במשרת,רוב,1,0
כי כמו בכל לב לרבו שרת,כי,0,0
כי כמו בכל לב לרבו שרת,כמו,1,0
כי כמו בכל לב לרבו שרת,בכל,2,1
כי כמו בכל לב לרבו שרת,לב,3,1
כי כמו בכל לב לרבו שרת,לרבו,4,1
כי כמו בכל לב לרבו שרת,שרת,5,1
גם הוא זכה להישרת,גם,0,0
גם הוא זכה להישרת,הוא,1,0
וגדות ירדן מצרתן הוחצו לו,ירדן,1,0
וגדות ירדן מצרתן הוחצו לו,לו,4,0
ומאורות באיילון דמו לפילולו,ומאורות,0,0
ומאורות באיילון דמו לפילולו,דמו,2,0
וטבח חמשת מלכי אמורי בהפילו,מלכי,2,0
נתנשא במלחמת שנייה קרב לערוך,שנייה,2,0
נתנשא במלחמת שנייה קרב לערוך,קרב,3,0
וכשלושים וששה לטבח לברוך,לטבח,2,0
חדש אורים שבעה המגיהים,חדש,0,0
חדש אורים שבעה המגיהים,אורים,1,0
חדש אורים שבעה המגיהים,שבעה,2,0
אשנבי שמש שבעתים יהוא נוגהים,אשנבי,0,1
אשנבי שמש שבעתים יהוא נוגהים,שמש,1,1
אשנבי שמש שבעתים יהוא נוגהים,שבעתים,2,0
אור עולם תהיה לעם לך מגיהים,אור,0,1
אור עולם תהיה לעם לך מגיהים,עולם,1,1
אור עולם תהיה לעם לך מגיהים,תהיה,2,1
אור עולם תהיה לעם לך מגיהים,לעם,3,1
אור עולם תהיה לעם לך מגיהים,לך,4,1
אור עולם תהיה לעם לך מגיהים,מגיהים,5,1
כי שמש ומגן יי אלוהים,כי,0,0
כי שמש ומגן יי אלוהים,שמש,1,1
כי שמש ומגן יי אלוהים,ומגן,2,1
כי שמש ומגן יי אלוהים,יי,3,1
כי שמש ומגן יי אלוהים,אלוהים,4,1
חדש בהיר לעדדינו כמקדם,חדש,0,0
חדש בהיר לעדדינו כמקדם,בהיר,1,1
בשבעת סימני לבנה חידותיה קדם,לבנה,2,0
בשבעת סימני לבנה חידותיה קדם,קדם,4,0
בהחזירך לתחי רדומי קדם,רדומי,2,1
בהחזירך לתחי רדומי קדם,קדם,3,1
בטל חדש ימינו כקדם,בטל,0,1
בטל חדש ימינו כקדם,חדש,1,1
בטל חדש ימינו כקדם,ימינו,2,1
בטל חדש ימינו כקדם,כקדם,3,1
חדש פדות מקוטרת מור,חדש,0,0
חדש פדות מקוטרת מור,פדות,1,0
חדש פדות מקוטרת מור,מקוטרת,2,1
חדש פדות מקוטרת מור,מור,3,1
ישועה תחיש צרור המור,ישועה,0,0
ישועה תחיש צרור המור,צרור,2,1
ישועה תחיש צרור המור,המור,3,1
אגן הסהר מזג אגנו,אגן,0,1
אגן הסהר מזג אגנו,הסהר,1,1
אגן הסהר מזג אגנו,מזג,2,1
אגן הסהר מזג אגנו,אגנו,3,1
בל יחסר בצאתו מדוד ציונו,בל,0,1
בל יחסר בצאתו מדוד ציונו,יחסר,1,1
בל יחסר בצאתו מדוד ציונו,בצאתו,2,1
בל יחסר בצאתו מדוד ציונו,מדוד,3,1
בל יחסר בצאתו מדוד ציונו,ציונו,4,1
גמר לקדשו מביני חשבונו,חשבונו,3,0
דוד יסכים עמם ממעונו,דוד,0,1
דוד יסכים עמם ממעונו,ממעונו,3,1
הלא אמת ראש דברו,אמת,1,0
הלא אמת ראש דברו,ראש,2,1
הלא אמת ראש דברו,דברו,3,1
וכפטיש יפוצץ סלע,וכפטיש,0,1
וכפטיש יפוצץ סלע,סלע,2,0
זעה ויצאה נפשי בדברו,זעה,0,1
זעה ויצאה נפשי בדברו,ויצאה,1,1
זעה ויצאה נפשי בדברו,נפשי,2,1
זעה ויצאה נפשי בדברו,בדברו,3,1
חך ממתקים בהשבירו,חך,0,1
חך ממתקים בהשבירו,ממתקים,1,1
חך ממתקים בהשבירו,בהשבירו,2,1
מקדש החדש בעיבורו,מקדש,0,1
טלת פתיל כתורה,טלת,0,1
טלת פתיל כתורה,פתיל,1,1
טלת פתיל כתורה,כתורה,2,1
יעט שוכן שמי שפרה,יעט,0,1
יעט שוכן שמי שפרה,שוכן,1,1
יעט שוכן שמי שפרה,שמי,2,1
יעט שוכן שמי שפרה,שפרה,3,1
כי הוא מאזין עתירה,כי,0,0
כי הוא מאזין עתירה,הוא,1,0
לגדודיו לפתורה,לגדודיו,0,1
מקודש כתורה,כתורה,1,0
נכחו ילכו ולא יסבו בהליכה,נכחו,0,1
נכחו ילכו ולא יסבו בהליכה,ילכו,1,1
נכחו ילכו ולא יסבו בהליכה,ולא,2,1
נכחו ילכו ולא יסבו בהליכה,יסבו,3,1
נכחו ילכו ולא יסבו בהליכה,בהליכה,4,1
סופרי חשבונו עימם לסמוכה,סופרי,0,1
סופרי חשבונו עימם לסמוכה,חשבונו,1,1
עונים בלשון רכה,בלשון,1,1
עונים בלשון רכה,רכה,2,1
פנו לעיבורו למחר מסויימים,פנו,0,0
צור ובית דינו עימם מסכימים,צור,0,1
צור ובית דינו עימם מסכימים,ובית,1,1
צור ובית דינו עימם מסכימים,דינו,2,1
קידוש ירחים בין חסרים ובין שלימים,בין,2,0
קידוש ירחים בין חסרים ובין שלימים,ובין,4,0
קידוש ירחים בין חסרים ובין שלימים,שלימים,5,0
רם יסכים עמם ממרומים,רם,0,1
שדי אין לפניך חדש,שדי,0,0
שדי אין לפניך חדש,אין,1,0
שדי אין לפניך חדש,לפניך,2,0
שדי אין לפניך חדש,חדש,3,0
שאג תשאג מנווך המחודש,שאג,0,1
שאג תשאג מנווך המחודש,תשאג,1,1
שאג תשאג מנווך המחודש,מנווך,2,1
שאג תשאג מנווך המחודש,המחודש,3,1
תוקף תל תלפיות על מכונו יתחדש,תל,1,1
תוקף תל תלפיות על מכונו יתחדש,תלפיות,2,1
תוקף תל תלפיות על מכונו יתחדש,על,3,0
תנות גוי הנקדש,גוי,1,0
ישע עמוסיו האל יגלה,ישע,0,0
ישע עמוסיו האל יגלה,עמוסיו,1,0
וכבודו עלינו ייגלה,וכבודו,0,0
וכבודו עלינו ייגלה,עלינו,1,0
קומו לציון ונעלה,קומו,0,0
ובגויים יאמרו כאלה,יאמרו,1,0
ופינו שחוק יימלא,שחוק,1,0
בהעצימך לנו עשות פלא,לנו,1,0
בהעצימך לנו עשות פלא,עשות,2,0
כשנאנים אשר בם עינים מלא,אשר,1,0
כשנאנים אשר בם עינים מלא,בם,2,0
כשנאנים אשר בם עינים מלא,עינים,3,0
כשנאנים אשר בם עינים מלא,מלא,4,0
חדש פאר עמך להגיהם,חדש,0,1
חדש פאר עמך להגיהם,פאר,1,1
חדש פאר עמך להגיהם,עמך,2,1
חדש פאר עמך להגיהם,להגיהם,3,1
יאיר שבעתים אור נגהם,יאיר,0,1
יאיר שבעתים אור נגהם,שבעתים,1,1
יאיר שבעתים אור נגהם,אור,2,1
יאיר שבעתים אור נגהם,נגהם,3,1
נושאים כי אתה מגיהם,כי,1,0
נושאים כי אתה מגיהם,אתה,2,1
נושאים כי אתה מגיהם,מגיהם,3,1
ונהללך כחיות אלהי אברהם,אברהם,3,0
חדש חי משמי שחק,חדש,0,1
חדש חי משמי שחק,חי,1,1
חדש חי משמי שחק,משמי,2,1
חדש חי משמי שחק,שחק,3,1
סמוך עם עולם ותראה ממרחק,סמוך,0,0
סמוך עם עולם ותראה ממרחק,עם,1,1
סמוך עם עולם ותראה ממרחק,עולם,2,1
החסד והרחמים לנו יוחק,לנו,2,0
ונייחדך אלהי יצחק,יצחק,2,0
חדש כבוד אריאל,חדש,0,0
חדש כבוד אריאל,כבוד,1,0
האר פניך ותחיש גואל,האר,0,1
האר פניך ותחיש גואל,פניך,1,1
האר פניך ותחיש גואל,גואל,3,0
נדע ונאמר אין כאל,אין,2,0
ותשמיעינו שנית אלהי ישראל,שנית,1,0
ותשמיעינו שנית אלהי ישראל,ישראל,3,0
חדש גורן עגולה,חדש,0,0
חדש גורן עגולה,גורן,1,1
חדש גורן עגולה,עגולה,2,1
לעדת סגולה,לעדת,0,1
לעדת סגולה,סגולה,1,1
לך יי הגדולה,לך,0,0
לך יי הגדולה,יי,1,0
חדש דביר מעוני,חדש,0,1
חדש דביר מעוני,דביר,1,1
חדש דביר מעוני,מעוני,2,1
בית מחמד עיני,בית,0,1
בית מחמד עיני,מחמד,1,1
בית מחמד עיני,עיני,2,1
דרכיך יי הודיעני,דרכיך,0,1
דרכיך יי הודיעני,יי,1,1
דרכיך יי הודיעני,הודיעני,2,1
חדש הדר בית השואבה,חדש,0,0
חדש הדר בית השואבה,הדר,1,0
חדש הדר בית השואבה,בית,2,0
ומים בששון נשאבה,ומים,0,0
ומים בששון נשאבה,בששון,1,0
השיבנו יי אליך ונשובה,יי,1,0
השיבנו יי אליך ונשובה,ונשובה,3,0
חדש ועד מנוחה,חדש,0,0
חדש ועד מנוחה,ועד,1,0
חדש ועד מנוחה,מנוחה,2,0
כי עמך הסליחה,כי,0,0
כי עמך הסליחה,עמך,1,0
חדש זמן,חדש,0,0
גואלינו יי צבאות,יי,1,0
גואלינו יי צבאות,צבאות,2,0
חדש חופה,חדש,0,0
חדש חופה,חופה,1,1
ותסיר חרפה,חרפה,1,0
ותאמר מחצתי ואני ארפא,מחצתי,1,1
ותאמר מחצתי ואני ארפא,ואני,2,1
ותאמר מחצתי ואני ארפא,ארפא,3,1
חדש טירת פנימי וחיצון,חדש,0,0
חדש טירת פנימי וחיצון,טירת,1,1
חדש טירת פנימי וחיצון,פנימי,2,1
חדש טירת פנימי וחיצון,וחיצון,3,1
ותעטרנו כצינה רצון,רצון,2,0
בטל לקרוא שנת רצון,בטל,0,0
בטל לקרוא שנת רצון,שנת,2,0
בטל לקרוא שנת רצון,רצון,3,0
חדש ישעך ונראה נס,חדש,0,0
חדש ישעך ונראה נס,נס,3,0
וחיש לנו מתניו משנס,לנו,1,0
וחיש לנו מתניו משנס,מתניו,2,1
וחיש לנו מתניו משנס,משנס,3,1
נדחי ישראל יכנס,ישראל,1,0
חדש כס מלאתי משפט,חדש,0,0
חדש כס מלאתי משפט,כס,1,0
חדש כס מלאתי משפט,מלאתי,2,1
חדש כס מלאתי משפט,משפט,3,1
כי שמה ישבו כסאות למשפט,כי,0,0
כי שמה ישבו כסאות למשפט,שמה,1,0
כי שמה ישבו כסאות למשפט,ישבו,2,1
כי שמה ישבו כסאות למשפט,כסאות,3,1
כי שמה ישבו כסאות למשפט,למשפט,4,1
חדש להבה,חדש,0,0
חדש להבה,להבה,1,1
לנוצרי איבה,איבה,1,0
וליהט אותם היום הבא,וליהט,0,0
וליהט אותם היום הבא,אותם,1,0
וליהט אותם היום הבא,היום,2,0
חדש משוש כל הארץ,חדש,0,0
חדש משוש כל הארץ,משוש,1,1
חדש משוש כל הארץ,כל,2,1
חדש משוש כל הארץ,הארץ,3,1
לקרואי חפץ ארץ,לקרואי,0,1
לקרואי חפץ ארץ,חפץ,1,1
לקרואי חפץ ארץ,ארץ,2,1
מבטח כל קצווי ארץ,כל,1,0
מבטח כל קצווי ארץ,ארץ,3,0
חדש נווך יי,חדש,0,0
חדש נווך יי,נווך,1,1
חדש נווך יי,יי,2,0
בראש כרמל ותבור וסיני,בראש,0,0
נכון יהיה הר בית יי,נכון,0,0
נכון יהיה הר בית יי,יהיה,1,0
נכון יהיה הר בית יי,הר,2,0
נכון יהיה הר בית יי,בית,3,0
נכון יהיה הר בית יי,יי,4,0
חדש ששון בית התפילה,חדש,0,0
חדש ששון בית התפילה,ששון,1,0
חדש ששון בית התפילה,בית,2,0
והסר מנו תפלה,מנו,1,0
והסר מנו תפלה,תפלה,2,0
לשמוע אל הרנה ואל התפילה,אל,1,0
לשמוע אל הרנה ואל התפילה,ואל,3,0
חדש עבודה,חדש,0,0
חדש עבודה,עבודה,1,0
וערבה ליי מנחת יהודה,וערבה,0,0
וערבה ליי מנחת יהודה,יהודה,3,0
חדש,חדש,0,0
פאר ההר הטוב,פאר,0,0
במה נעים ומה טוב,במה,0,0
במה נעים ומה טוב,ומה,2,0
במה נעים ומה טוב,טוב,3,0
להודות ליי כי טוב,כי,2,0
להודות ליי כי טוב,טוב,3,0
חדש ציון וירושלים ברחמים,חדש,0,0
חדש ציון וירושלים ברחמים,ציון,1,0
חדש ציון וירושלים ברחמים,ברחמים,3,0
קרב חידוש בית עולמים,קרב,0,0
קרב חידוש בית עולמים,בית,2,1
קרב חידוש בית עולמים,עולמים,3,1
רומם קרנינו כקרני ראמים,רומם,0,0
רומם קרנינו כקרני ראמים,קרנינו,1,0
רומם קרנינו כקרני ראמים,ראמים,3,0
שלום תשפות לנו כבא בימים,שלום,0,1
שלום תשפות לנו כבא בימים,תשפות,1,1
שלום תשפות לנו כבא בימים,לנו,2,1
ובני ישראל אומצו בגאולה,ובני,0,0
ובני ישראל אומצו בגאולה,ישראל,1,0
ויושע יי זכים ובעשרה לה,ויושע,0,0
ויושע יי זכים ובעשרה לה,יי,1,0
ויושע יי זכים ובעשרה לה,זכים,2,1
ויושע יי זכים ובעשרה לה,לה,4,0
ובני ישראל כוללו באיתי מלבנון כלה,ובני,0,0
ובני ישראל כוללו באיתי מלבנון כלה,ישראל,1,0
ובני ישראל כוללו באיתי מלבנון כלה,כוללו,2,1
ובני ישראל כוללו באיתי מלבנון כלה,באיתי,3,1
ובני ישראל כוללו באיתי מלבנון כלה,מלבנון,4,1
ובני ישראל כוללו באיתי מלבנון כלה,כלה,5,1
ויושע יי יחידים באהבה כלולה,ויושע,0,0
ויושע יי יחידים באהבה כלולה,יי,1,0
ויושע יי יחידים באהבה כלולה,יחידים,2,1
ויושע יי יחידים באהבה כלולה,באהבה,3,1
ויושע יי יחידים באהבה כלולה,כלולה,4,1
ובני ישראל רצם בליבבתיני אחותי כלה,ובני,0,0
ובני ישראל רצם בליבבתיני אחותי כלה,ישראל,1,0
ובני ישראל רצם בליבבתיני אחותי כלה,בליבבתיני,3,1
ובני ישראל רצם בליבבתיני אחותי כלה,אחותי,4,1
ובני ישראל רצם בליבבתיני אחותי כלה,כלה,5,1
ויושע יי יחידים ובגוים עש,ויושע,0,0
ויושע יי יחידים ובגוים עש,יי,1,0
ויושע יי יחידים ובגוים עש,יחידים,2,1
ובני ישראל צהלו אחותי כלה,ובני,0,0
ובני ישראל צהלו אחותי כלה,ישראל,1,0
ובני ישראל צהלו אחותי כלה,צהלו,2,0
ובני ישראל צהלו אחותי כלה,אחותי,3,1
ובני ישראל צהלו אחותי כלה,כלה,4,1
ויושע יי ידידים זר לה להכלילה,ויושע,0,0
ויושע יי ידידים זר לה להכלילה,יי,1,0
ויושע יי ידידים זר לה להכלילה,ידידים,2,1
ויושע יי ידידים זר לה להכלילה,זר,3,1
ויושע יי ידידים זר לה להכלילה,לה,4,1
ויושע יי ידידים זר לה להכלילה,להכלילה,5,1
ובני ישראל אזנתה בנופת תטפונה שפתותיך כלה,ובני,0,0
ובני ישראל אזנתה בנופת תטפונה שפתותיך כלה,ישראל,1,0
ובני ישראל אזנתה בנופת תטפונה שפתותיך כלה,בנופת,3,1
ובני ישראל אזנתה בנופת תטפונה שפתותיך כלה,תטפונה,4,1
ובני ישראל אזנתה בנופת תטפונה שפתותיך כלה,שפתותיך,5,1
ובני ישראל אזנתה בנופת תטפונה שפתותיך כלה,כלה,6,1
ויושע יי תמה עלילה,ויושע,0,0
